Id,PostId,Score,CreationDate,UserId,ContentLicense
1,1,0,2015-01-27T20:17:48.370,9,CC BY-SA 3.0
2,7,0,2015-01-27T20:49:45.450,8,CC BY-SA 3.0
3,4,1,2015-01-27T20:57:18.480,24,CC BY-SA 3.0
5,4,0,2015-01-27T20:58:50.520,8,CC BY-SA 3.0
6,4,0,2015-01-27T21:00:55.490,24,CC BY-SA 3.0
7,4,0,2015-01-27T21:02:40.787,8,CC BY-SA 3.0
8,15,0,2015-01-27T21:05:06.407,8,CC BY-SA 3.0
9,2,0,2015-01-27T21:06:00.563,24,CC BY-SA 3.0
10,2,0,2015-01-27T21:06:53.763,24,CC BY-SA 3.0
11,2,0,2015-01-27T21:07:29.830,8,CC BY-SA 3.0
12,17,0,2015-01-27T21:07:38.357,19,CC BY-SA 3.0
14,17,0,2015-01-27T21:09:55.847,17,CC BY-SA 3.0
15,18,0,2015-01-27T21:10:12.587,19,CC BY-SA 3.0
16,18,0,2015-01-27T21:11:53.650,4,CC BY-SA 3.0
17,17,0,2015-01-27T21:13:17.703,19,CC BY-SA 3.0
18,1,0,2015-01-27T21:13:42.833,17,CC BY-SA 3.0
19,18,0,2015-01-27T21:14:26.020,19,CC BY-SA 3.0
20,1,6,2015-01-27T21:15:00.953,4,CC BY-SA 3.0
21,11,0,2015-01-27T21:16:26.993,16,CC BY-SA 3.0
22,18,2,2015-01-27T21:17:02.423,4,CC BY-SA 3.0
23,17,0,2015-01-27T21:18:43.477,17,CC BY-SA 3.0
24,4,1,2015-01-27T21:18:47.177,24,CC BY-SA 3.0
25,19,0,2015-01-27T21:19:02.043,25,CC BY-SA 3.0
26,11,1,2015-01-27T21:20:00.880,17,CC BY-SA 3.0
27,19,0,2015-01-27T21:20:51.440,17,CC BY-SA 3.0
29,17,0,2015-01-27T21:22:15.233,19,CC BY-SA 3.0
30,25,0,2015-01-27T21:22:28.947,8,CC BY-SA 3.0
31,19,0,2015-01-27T21:23:21.080,25,CC BY-SA 3.0
32,4,0,2015-01-27T21:23:23.637,8,CC BY-SA 3.0
33,4,0,2015-01-27T21:24:22.613,24,CC BY-SA 3.0
34,25,0,2015-01-27T21:25:27.020,23,CC BY-SA 3.0
35,19,1,2015-01-27T21:26:38.637,17,CC BY-SA 3.0
36,25,0,2015-01-27T21:26:49.947,8,CC BY-SA 3.0
37,25,0,2015-01-27T21:28:37.497,17,CC BY-SA 3.0
38,19,0,2015-01-27T21:28:59.010,25,CC BY-SA 3.0
39,25,0,2015-01-27T21:30:47.270,23,CC BY-SA 3.0
40,17,0,2015-01-27T21:33:20.047,17,CC BY-SA 3.0
41,19,1,2015-01-27T21:35:04.740,17,CC BY-SA 3.0
43,4,0,2015-01-27T22:03:10.613,4,CC BY-SA 3.0
44,42,1,2015-01-27T22:12:26.867,48,CC BY-SA 3.0
45,17,0,2015-01-27T22:19:07.103,19,CC BY-SA 3.0
50,36,1,2015-01-27T22:39:15.467,57,CC BY-SA 3.0
51,18,0,2015-01-27T22:42:09.900,57,CC BY-SA 3.0
52,56,6,2015-01-27T22:47:48.187,59,CC BY-SA 3.0
53,30,0,2015-01-27T22:48:13.380,31,CC BY-SA 3.0
54,61,0,2015-01-27T22:55:53.640,31,CC BY-SA 3.0
55,59,0,2015-01-27T23:01:57.373,52,CC BY-SA 3.0
56,52,2,2015-01-27T23:04:33.077,24,CC BY-SA 3.0
57,43,0,2015-01-27T23:07:25.360,24,CC BY-SA 3.0
61,68,0,2015-01-27T23:48:54.383,79,CC BY-SA 3.0
63,34,0,2015-01-28T00:16:19.857,76,CC BY-SA 3.0
64,34,0,2015-01-28T00:26:37.377,4,CC BY-SA 3.0
65,34,5,2015-01-28T00:27:19.427,76,CC BY-SA 3.0
66,81,0,2015-01-28T00:28:53.747,31,CC BY-SA 3.0
69,34,0,2015-01-28T00:32:47.750,4,CC BY-SA 3.0
70,81,1,2015-01-28T00:38:14.867,86,CC BY-SA 3.0
71,81,0,2015-01-28T00:45:39.590,31,CC BY-SA 3.0
72,81,0,2015-01-28T00:47:48.473,86,CC BY-SA 3.0
73,86,1,2015-01-28T00:51:22.107,31,CC BY-SA 3.0
74,86,2,2015-01-28T00:53:21.260,86,CC BY-SA 3.0
75,87,0,2015-01-28T01:25:41.603,75,CC BY-SA 3.0
76,89,0,2015-01-28T01:26:27.647,75,CC BY-SA 3.0
79,84,0,2015-01-28T01:29:46.740,75,CC BY-SA 3.0
80,89,1,2015-01-28T01:32:27.483,80,CC BY-SA 3.0
81,89,0,2015-01-28T01:33:50.813,75,CC BY-SA 3.0
82,90,4,2015-01-28T01:35:26.320,101,CC BY-SA 3.0
83,90,2,2015-01-28T01:35:36.027,31,CC BY-SA 3.0
84,90,0,2015-01-28T01:37:04.523,98,CC BY-SA 3.0
85,89,0,2015-01-28T01:37:24.570,80,CC BY-SA 3.0
86,90,0,2015-01-28T01:37:47.143,98,CC BY-SA 3.0
88,90,1,2015-01-28T01:42:18.420,31,CC BY-SA 3.0
89,75,1,2015-01-28T01:46:55.333,102,CC BY-SA 3.0
90,88,0,2015-01-28T01:55:44.420,86,CC BY-SA 3.0
91,70,0,2015-01-28T02:00:07.803,75,CC BY-SA 3.0
92,50,1,2015-01-28T02:09:18.820,104,CC BY-SA 3.0
93,17,1,2015-01-28T02:29:37.863,101,CC BY-SA 3.0
94,87,0,2015-01-28T02:44:21.267,91,CC BY-SA 3.0
95,84,0,2015-01-28T02:45:41.880,91,CC BY-SA 3.0
96,97,0,2015-01-28T05:27:07.630,101,CC BY-SA 3.0
97,99,0,2015-01-28T05:30:21.833,34,CC BY-SA 3.0
98,105,1,2015-01-28T08:05:41.447,101,CC BY-SA 3.0
99,109,0,2015-01-28T08:06:26.567,52,CC BY-SA 3.0
100,109,1,2015-01-28T08:24:23.580,16,CC BY-SA 3.0
101,90,0,2015-01-28T08:51:27.460,8,CC BY-SA 3.0
104,70,3,2015-01-28T09:32:34.293,46,CC BY-SA 3.0
105,115,0,2015-01-28T09:43:25.850,46,CC BY-SA 3.0
106,119,0,2015-01-28T09:43:55.870,127,CC BY-SA 3.0
107,119,3,2015-01-28T09:47:40.843,16,CC BY-SA 3.0
110,124,2,2015-01-28T10:07:44.993,8,CC BY-SA 3.0
111,124,1,2015-01-28T10:12:26.943,127,CC BY-SA 3.0
112,124,0,2015-01-28T10:14:33.680,8,CC BY-SA 3.0
113,41,1,2015-01-28T10:17:17.843,10,CC BY-SA 3.0
114,124,1,2015-01-28T10:18:26.190,48,CC BY-SA 3.0
115,129,4,2015-01-28T11:13:30.633,127,CC BY-SA 3.0
116,101,0,2015-01-28T11:51:28.630,110,CC BY-SA 3.0
117,96,1,2015-01-28T11:55:13.780,110,CC BY-SA 3.0
118,97,0,2015-01-28T11:56:12.973,110,CC BY-SA 3.0
119,96,0,2015-01-28T12:05:26.510,110,CC BY-SA 3.0
120,109,0,2015-01-28T12:18:32.750,52,CC BY-SA 3.0
121,125,0,2015-01-28T12:35:26.287,24,CC BY-SA 3.0
122,125,0,2015-01-28T12:39:21.387,127,CC BY-SA 3.0
124,124,4,2015-01-28T12:52:11.623,101,CC BY-SA 3.0
125,125,1,2015-01-28T12:58:06.163,24,CC BY-SA 3.0
126,125,0,2015-01-28T12:58:43.323,127,CC BY-SA 3.0
127,124,1,2015-01-28T12:58:44.117,24,CC BY-SA 3.0
128,124,0,2015-01-28T13:02:59.380,8,CC BY-SA 3.0
129,124,0,2015-01-28T13:06:27.897,127,CC BY-SA 3.0
130,121,1,2015-01-28T13:09:54.360,56,CC BY-SA 3.0
131,115,1,2015-01-28T13:19:42.627,127,CC BY-SA 3.0
132,96,0,2015-01-28T13:30:23.800,110,CC BY-SA 3.0
133,137,0,2015-01-28T13:45:28.043,101,CC BY-SA 3.0
135,71,1,2015-01-28T14:15:50.733,132,CC BY-SA 3.0
136,82,0,2015-01-28T14:16:26.727,132,CC BY-SA 3.0
137,141,0,2015-01-28T14:31:20.230,124,CC BY-SA 3.0
138,141,10,2015-01-28T14:36:29.650,101,CC BY-SA 3.0
139,147,0,2015-01-28T14:51:24.027,8,CC BY-SA 3.0
140,147,0,2015-01-28T15:17:07.440,140,CC BY-SA 3.0
141,147,1,2015-01-28T15:23:25.940,8,CC BY-SA 3.0
144,147,1,2015-01-28T15:57:00.333,124,CC BY-SA 3.0
145,124,1,2015-01-28T16:04:30.020,141,CC BY-SA 3.0
146,147,1,2015-01-28T16:11:39.720,124,CC BY-SA 3.0
147,147,0,2015-01-28T16:15:58.020,140,CC BY-SA 3.0
148,147,1,2015-01-28T16:18:22.767,124,CC BY-SA 3.0
149,96,0,2015-01-28T16:20:48.590,23,CC BY-SA 3.0
150,156,0,2015-01-28T16:24:32.847,140,CC BY-SA 3.0
151,80,0,2015-01-28T16:34:44.993,54,CC BY-SA 3.0
152,53,0,2015-01-28T16:37:12.120,54,CC BY-SA 3.0
153,156,0,2015-01-28T16:43:01.567,31,CC BY-SA 3.0
154,156,0,2015-01-28T16:46:25.963,31,CC BY-SA 3.0
155,156,0,2015-01-28T16:57:01.950,140,CC BY-SA 3.0
157,25,0,2015-01-28T17:05:44.693,23,CC BY-SA 3.0
158,159,0,2015-01-28T17:08:56.257,48,CC BY-SA 3.0
