Id,PostId,Score,CreationDate,UserId,ContentLicense
1,4,4,2013-10-08T22:02:22.217,16,CC BY-SA 3.0
2,7,3,2013-10-08T22:06:14.083,20,CC BY-SA 3.0
3,8,2,2013-10-08T22:06:18.173,3,CC BY-SA 3.0
4,8,0,2013-10-08T22:10:34.087,17,CC BY-SA 3.0
5,12,0,2013-10-08T22:10:45.697,16,CC BY-SA 3.0
6,12,0,2013-10-08T22:11:59.443,20,CC BY-SA 3.0
7,12,0,2013-10-08T22:13:11.927,16,CC BY-SA 3.0
8,12,0,2013-10-08T22:13:33.193,31,CC BY-SA 3.0
9,12,0,2013-10-08T22:15:25.073,20,CC BY-SA 3.0
11,7,0,2013-10-08T22:15:52.300,31,CC BY-SA 3.0
12,7,0,2013-10-08T22:16:09.477,36,CC BY-SA 3.0
16,23,2,2013-10-08T22:19:14.820,36,CC BY-SA 3.0
17,23,0,2013-10-08T22:22:17.423,31,CC BY-SA 3.0
23,20,4,2013-10-08T22:26:09.880,3,CC BY-SA 3.0
25,30,0,2013-10-08T22:28:01.653,31,CC BY-SA 3.0
27,30,0,2013-10-08T22:30:55.923,32,CC BY-SA 3.0
29,36,0,2013-10-08T22:39:53.883,44,CC BY-SA 3.0
30,36,1,2013-10-08T22:41:46.637,20,CC BY-SA 3.0
33,18,0,2013-10-08T22:48:27.813,52,CC BY-SA 3.0
36,8,4,2013-10-08T23:18:49.563,47,CC BY-SA 3.0
40,31,4,2013-10-08T23:24:24.297,47,CC BY-SA 3.0
41,29,1,2013-10-08T23:28:04.750,58,CC BY-SA 3.0
42,10,6,2013-10-08T23:30:47.130,47,CC BY-SA 3.0
43,15,3,2013-10-08T23:34:07.350,47,CC BY-SA 3.0
45,2,4,2013-10-08T23:39:19.293,47,CC BY-SA 3.0
46,66,0,2013-10-08T23:39:39.390,32,CC BY-SA 3.0
52,58,0,2013-10-08T23:46:02.350,3,CC BY-SA 3.0
53,35,0,2013-10-08T23:48:16.367,47,CC BY-SA 3.0
54,55,0,2013-10-08T23:49:13.727,3,CC BY-SA 3.0
55,19,0,2013-10-08T23:50:51.207,47,CC BY-SA 3.0
56,13,0,2013-10-08T23:52:30.187,47,CC BY-SA 3.0
57,4,0,2013-10-08T23:53:48.260,47,CC BY-SA 3.0
59,66,0,2013-10-09T00:01:08.357,58,CC BY-SA 3.0
60,58,2,2013-10-09T00:02:41.920,47,CC BY-SA 3.0
62,66,2,2013-10-09T00:04:47.210,32,CC BY-SA 3.0
73,15,1,2013-10-09T00:41:57.013,16,CC BY-SA 3.0
74,29,1,2013-10-09T00:46:23.390,16,CC BY-SA 3.0
76,15,3,2013-10-09T00:50:29.487,47,CC BY-SA 3.0
80,69,0,2013-10-09T00:56:48.347,16,CC BY-SA 3.0
83,71,0,2013-10-09T01:06:31.930,16,CC BY-SA 3.0
85,11,2,2013-10-09T01:16:22.333,16,CC BY-SA 3.0
86,95,0,2013-10-09T01:20:17.553,32,CC BY-SA 3.0
87,11,0,2013-10-09T01:44:19.037,25,CC BY-SA 3.0
88,18,3,2013-10-09T01:48:48.133,25,CC BY-SA 3.0
89,79,2,2013-10-09T01:51:07.627,25,CC BY-SA 3.0
90,61,0,2013-10-09T01:53:06.870,25,CC BY-SA 3.0
91,108,0,2013-10-09T01:59:19.387,53,CC BY-SA 3.0
92,108,0,2013-10-09T02:00:54.197,44,CC BY-SA 3.0
93,27,2,2013-10-09T02:01:47.323,58,CC BY-SA 3.0
94,36,2,2013-10-09T02:13:21.227,58,CC BY-SA 3.0
95,108,0,2013-10-09T02:25:50.260,53,CC BY-SA 3.0
101,11,2,2013-10-09T02:43:16.637,53,CC BY-SA 3.0
102,8,0,2013-10-09T02:50:01.830,17,CC BY-SA 3.0
108,122,0,2013-10-09T03:47:31.443,32,CC BY-SA 3.0
110,58,0,2013-10-09T04:20:28.083,3,CC BY-SA 3.0
115,8,4,2013-10-09T07:34:38.297,3,CC BY-SA 3.0
