Id,CreationDate,PostId,RelatedPostId,LinkTypeId
224,2013-10-09T00:38:57.547,80,18,1
366,2013-10-09T03:40:30.327,122,3,1
847,2013-10-09T14:08:33.107,245,213,1
1072,2013-10-09T15:51:26.123,275,266,1
1269,2013-10-09T19:12:29.237,312,74,1
1515,2013-10-10T09:00:58.377,352,114,1
1522,2013-10-10T09:58:05.683,387,1,1
1533,2013-10-10T10:04:33.007,413,387,1
1588,2013-10-10T13:43:14.073,264,134,1
1639,2013-10-10T17:07:17.380,438,436,1
1703,2013-10-10T19:22:32.093,353,260,1
1750,2013-10-10T20:04:39.323,470,274,1
1830,2013-10-10T22:00:51.790,496,473,1
1832,2013-10-10T22:01:15.153,473,496,1
1853,2013-10-11T00:06:19.103,496,396,1
1954,2013-10-11T11:12:58.320,496,4,1
2108,2013-10-11T20:34:19.663,540,471,1
2120,2013-10-11T20:41:02.497,546,473,1
2160,2013-10-11T23:10:14.807,540,542,1
2249,2013-10-12T09:14:27.377,578,519,1
2261,2013-10-12T10:23:00.393,551,48,1
2262,2013-10-12T10:23:00.393,551,522,1
2289,2013-10-12T15:19:45.960,586,387,1
2301,2013-10-12T20:29:36.927,158,1,1
2302,2013-10-13T03:36:18.300,396,398,1
2409,2013-10-13T16:16:10.737,477,398,1
2440,2013-10-13T18:44:00.960,622,464,1
2482,2013-10-14T04:08:01.970,617,551,1
2512,2013-10-14T05:07:52.853,634,631,1
2532,2013-10-14T10:33:42.623,627,626,1
2544,2013-10-14T11:47:23.283,643,81,1
2575,2013-10-14T12:25:47.477,591,365,1
2643,2013-10-14T18:16:57.363,665,646,1
2705,2013-10-15T04:30:42.510,655,266,1
2716,2013-10-15T04:42:26.060,650,631,1
2726,2013-10-15T07:10:41.990,655,266,3
2754,2013-10-15T11:52:24.710,626,141,1
2768,2013-10-15T12:38:11.133,680,690,1
2769,2013-10-15T12:38:11.133,680,646,1
2771,2013-10-15T13:00:31.593,690,208,1
2808,2013-10-15T14:08:55.273,693,681,1
2816,2013-10-15T16:17:52.383,695,400,1
2943,2013-10-15T19:59:29.310,690,680,1
3021,2013-10-16T06:03:44.503,723,400,1
3022,2013-10-16T06:03:44.503,723,695,1
3164,2013-10-17T02:21:06.790,752,75,1
3207,2013-10-17T09:58:07.277,723,726,1
3237,2013-10-17T11:41:43.983,750,760,1
3267,2013-10-17T15:00:55.090,723,400,3
3275,2013-10-17T15:34:52.250,695,400,3
3304,2013-10-17T21:12:22.403,766,681,1
3342,2013-10-18T06:20:30.920,769,765,1
3373,2013-10-18T14:38:10.773,780,34,1
3445,2013-10-18T16:50:56.927,787,781,1
3446,2013-10-18T16:53:53.780,787,780,1
3457,2013-10-18T20:38:09.333,768,151,1
3465,2013-10-18T23:19:17.457,785,783,1
3482,2013-10-18T23:59:14.950,787,796,1
3483,2013-10-19T00:00:25.067,785,749,1
3505,2013-10-19T03:34:25.000,787,802,1
3506,2013-10-19T03:34:25.000,787,798,1
3526,2013-10-19T08:16:57.077,343,341,1
3676,2013-10-19T09:14:47.813,399,170,1
3691,2013-10-19T09:55:39.430,829,471,1
3692,2013-10-19T09:55:39.430,829,542,1
3762,2013-10-20T13:04:54.143,469,83,1
3823,2013-10-20T22:22:43.847,842,841,1
3880,2013-10-21T06:01:08.827,798,787,1
3881,2013-10-21T06:47:44.513,53,586,1
3882,2013-10-21T06:47:44.513,53,387,1
3883,2013-10-21T07:33:58.250,849,781,3
4006,2013-10-21T21:02:03.980,266,83,1
4058,2013-10-22T03:35:26.137,18,1,1
4093,2013-10-22T14:12:28.600,789,788,1
4122,2013-10-22T15:29:20.647,875,214,1
4166,2013-10-22T19:40:37.740,879,787,1
4192,2013-10-22T20:15:19.470,880,870,1
4259,2013-10-23T02:51:14.910,898,888,1
4327,2013-10-23T18:12:33.470,914,519,1
4369,2013-10-23T20:26:57.340,919,796,1
4528,2013-10-24T16:52:31.423,792,753,1
4556,2013-10-25T04:11:18.717,738,752,1
4610,2013-10-26T04:34:45.373,951,890,1
4674,2013-10-27T07:56:27.707,971,948,1
4711,2013-10-28T01:38:49.640,978,3,1
4786,2013-10-28T18:35:03.210,519,914,1
4880,2013-10-28T21:20:43.583,986,229,1
4895,2013-10-28T21:44:01.927,987,831,1
4936,2013-10-29T05:00:48.853,932,936,1
4955,2013-10-29T07:45:59.460,984,799,1
4956,2013-10-29T07:45:59.460,984,781,1
4991,2013-10-29T12:19:32.220,1003,721,1
5046,2013-10-29T15:34:05.060,1013,787,1
5077,2013-10-29T17:50:31.813,1021,769,1
5078,2013-10-29T17:52:39.760,1007,358,1
5212,2013-10-30T12:52:13.317,721,1003,1
5259,2013-10-30T16:51:20.320,1064,105,1
5261,2013-10-30T16:53:16.127,1064,480,1
5290,2013-10-30T19:36:41.317,1070,1041,1
5292,2013-10-30T23:25:56.593,1064,107,1
5293,2013-10-31T00:35:03.147,1062,796,1
5294,2013-10-31T00:35:03.147,1062,802,1
5462,2013-11-01T18:49:49.460,1124,1110,3
5484,2013-11-01T22:21:42.293,1144,312,1
5562,2013-11-02T10:29:31.943,1157,692,1
5563,2013-11-02T10:29:31.943,1157,551,1
5578,2013-11-03T05:16:57.353,292,1009,1
5595,2013-11-03T06:40:59.887,604,603,1
5641,2013-11-03T13:15:46.647,1175,766,1
5642,2013-11-03T13:15:46.647,1175,681,1
5902,2013-11-06T14:11:37.783,1234,256,1
5915,2013-11-06T15:27:54.087,1231,380,1
5934,2013-11-06T19:51:46.047,1236,83,1
6016,2013-11-07T13:31:31.537,1257,549,1
6033,2013-11-07T22:07:39.037,1272,1236,1
6034,2013-11-07T22:07:39.037,1272,743,1
6094,2013-11-08T03:22:53.837,1276,1273,1
6099,2013-11-08T03:54:11.613,1273,400,1
6100,2013-11-08T03:54:11.613,1273,496,1
6101,2013-11-08T03:54:11.613,1273,521,1
6167,2013-11-08T14:04:35.967,1272,9,1
6168,2013-11-08T14:35:01.517,1272,1007,1
6257,2013-11-08T18:02:08.490,1311,1257,1
6259,2013-11-08T18:42:53.573,1274,1301,1
6551,2013-11-10T15:06:02.643,1323,1000,1
6561,2013-11-10T16:55:08.950,1324,680,1
6956,2013-11-12T15:45:57.683,1310,3,1
6957,2013-11-12T15:45:57.683,1310,971,1
7021,2013-11-12T22:22:14.383,1366,1352,1
7134,2013-11-13T12:04:30.653,1310,551,1
7501,2013-11-15T15:23:29.753,1396,1202,1
7531,2013-11-15T19:09:31.197,1398,1375,1
7555,2013-11-15T20:32:57.843,1402,549,1
7901,2013-11-19T02:57:25.130,1427,1411,1
7974,2013-11-20T16:51:34.697,1423,692,1
7994,2013-11-20T20:01:36.443,1438,721,1
8032,2013-11-20T22:08:30.437,1423,1441,1
8100,2013-11-21T12:03:28.803,1441,1423,1
8101,2013-11-21T14:49:38.847,1448,67,1
