Id,TagName,Count,ExcerptPostId,WikiPostId
1,dogs,2175,162,161
2,aggression,255,393,392
5,training,576,188,187
6,fear,137,536,535
10,cats,2734,204,203
11,ferrets,20,1044,1043
13,behavior,1573,186,185
14,biting,95,1355,1354
15,allergies,48,574,573
17,play,100,1298,1297
19,mice,22,1170,1169
20,anxiety,64,1282,1281
22,mental-stimulation,17,1168,1167
23,diet,473,487,486
24,feeding,347,235,234
25,toys,58,818,817
26,safety,381,822,821
29,multi-pet-families,175,1024,1023
30,introducing-pets,87,455,454
31,socializing,122,361,360
32,birds,134,806,805
33,parrots,45,1162,1161
34,fish,544,395,394
35,pond,53,89,88
36,winter,16,29265,29264
39,snails,39,686,685
40,sturgeons,2,,
44,drinking,33,1357,1356
46,desexing,50,580,579
47,aquarium,559,577,576
49,toilet-training,288,1288,1287
53,rescue-organizations,34,4393,4392
54,feral,52,856,855
55,first-aid,24,1056,1055
56,fleas,49,1166,1165
59,exercise,45,1052,1051
61,guinea-pigs,32,2273,2272
62,children,17,548,547
63,grooming,140,334,333
64,health,1159,406,405
65,adoption,94,1251,1250
66,injury,120,9416,9415
70,parasites,67,332,331
71,horses,80,1296,1295
73,bedding,9,2615,2614
74,hygiene,21,1200,1199
75,lifespan,7,190,189
77,rabbits,324,363,362
78,compatibility,18,2271,2270
79,sound,16,1046,1045
81,reptiles,182,810,809
82,snakes,74,389,388
87,skin-condition,100,27669,27668
88,euthanasia,22,1182,1181
91,plants,40,27677,27676
92,poison,60,1032,1031
93,turtles,129,795,794
94,furniture,12,1243,1242
98,hamsters,54,7819,7818
99,cage,31,1270,1269
100,chickens,25,1204,1203
101,instinct,9,1589,1588
106,dominance,40,1050,1049
111,frogs,21,1172,1171
112,filters,43,1294,1293
113,cichlid,14,1128,1127
115,marking,10,1300,1299
116,leash-training,44,777,776
118,outdoor,65,27671,27670
121,age,19,391,390
122,stress,38,27681,27680
124,enclosure,18,1290,1289
125,medicines,192,404,403
130,gender-differentiation,27,451,450
131,bathing,27,1054,1053
133,house-moving,43,526,525
137,travel,75,648,647
139,territory,27,,
143,weight,39,,
144,hermit-crabs,11,1106,1105
149,budgerigar,21,602,601
150,cecotropes,2,1359,1358
151,dental-care,32,1179,1178
155,hunting,16,688,687
159,physiology,9,1347,1346
163,infections,50,27675,27674
169,goats,5,812,811
171,donkeys,2,828,827
172,death,72,733,732
175,lizards,32,1141,1140
177,breeding,154,824,823
179,terrariums,28,1345,1344
180,cocker-spaniel,1,1143,1142
183,amphibians,19,820,819
184,weather,13,1210,1209
186,feces,14,814,813
188,tortoises,34,834,833
192,maintenance,32,863,862
197,lighting,22,887,886
200,reef-tank,13,1135,1134
201,showmanship,1,1132,1131
202,dachshunds,14,1130,1129
204,recall,4,1060,1059
209,animal-handling,39,2299,2298
211,algae,24,1108,1107
212,aquatic-plants,53,1089,1088
213,swimming,8,1139,1138
214,freshwater,127,1078,1077
215,saltwater,37,1080,1079
216,burmese,1,1093,1092
217,tarantulas,1,1118,1117
218,crickets,8,1116,1115
219,betta,126,1114,1113
223,whippet,2,1177,1176
224,tetra,18,1191,1190
225,live-food,17,1208,1207
226,crossbreed,9,1196,1195
227,clown-plecos,1,1280,1279
228,anatomy,9,1338,1337
229,welsh-collie,3,1249,1248
230,docking,2,1260,1259
233,sleep,53,27673,27672
237,communication,42,1372,1371
239,eating,180,1385,1384
240,water-parameters,57,1392,1391
245,gourami,3,1570,1569
247,danio,6,29273,29272
250,community-aquarium,63,1594,1593
251,maine-coon,11,1620,1619
254,pleco,7,1664,1663
255,sheep,2,4380,4379
256,herding,7,1787,1786
257,purebred,7,,
258,insects,28,1686,1685
262,bearded-dragon,55,2275,2274
263,senior-pet,52,2631,2630
264,leopard-geckos,92,27663,27662
266,water-changes,21,2301,2300
268,exotic-pets,26,2047,2046
269,disaster,3,,
270,geckos,33,,
271,koi,15,1792,1791
272,crate,42,27679,27678
274,digging,9,,
276,shelter,10,,
277,humane-society,2,,
278,fundraising,3,,
281,snoring,4,,
283,diseases,209,6629,6628
284,acclimation,13,2266,2265
285,cockatiels,34,16953,16952
290,genetics,15,2255,2254
295,guinea-fowls,2,29259,29258
303,vocalizations,124,9414,9413
306,veterinarian,87,2194,2193
309,conformation-shows,2,2224,2223
310,biology,55,6618,6617
313,substrate,26,2303,2302
315,decorations,6,2585,2584
316,certificate,2,,
317,united-states,4,7441,7440
320,teething,7,,
329,agility,10,2629,2628
333,clicker-training,19,2504,2503
335,containment,140,3326,3325
338,pig,11,,
339,ticks,22,,
340,terminology,20,2680,2679
342,pet-selection,74,2613,2612
343,chewing,44,6676,6675
344,cleaning,72,5800,5799
347,treats,35,3188,3187
348,eggs,15,29263,29262
350,surgery,33,5694,5693
351,ttouch,1,2662,2661
352,shedding,22,7033,7032
353,attire,1,2727,2726
355,sports,1,2736,2735
357,vaccination,31,2865,2864
359,skinny-pigs,3,,
362,growing,16,,
367,legal,25,6867,6866
368,trancing,3,4336,4335
369,llamas,1,4378,4377
373,bonding,18,5446,5445
374,pest-control,32,,
376,boarding,7,5588,5587
380,rodents,25,7821,7820
382,salamanders,4,,
385,farriers,1,5863,5862
387,domestication,14,29267,29266
391,breeds,26,24259,24258
392,sea-monkeys,2,6193,6192
395,herbivore,1,6384,6383
397,scratching,29,6420,6419
398,brineshrimp,6,,
399,invertebrates,14,29269,29268
400,arachnids,5,,
403,upper-respiratory-disease,22,,
404,history,7,,
405,vision,34,,
406,hearing,15,,
410,competitions,2,,
412,farm-animals,10,,
414,psychology,308,6631,6630
415,rat,37,7969,7968
417,chinchillas,5,7427,7426
422,fostering,8,,
423,identification,25,6908,6907
426,molting,18,7120,7119
432,autotomy,1,7531,7530
433,fetch,5,,
435,heaters,12,7811,7810
437,leashes,12,7842,7841
438,guppies,21,28311,28310
439,junior-pets,35,7992,7991
441,goldfish,87,27667,27666
442,chameleons,5,,
443,cows,6,,
444,excretions,3,,
445,temperature,45,27683,27682
449,clownfish,5,,
451,service-animal,3,,
453,can-food,16,,
458,arthritis,11,,
465,urination,53,16805,16804
466,literature,2,15724,15723
468,ears-nose-throat,22,,
469,digestion,6,,
470,weight-loss,5,,
471,eye-disease,22,,
473,reproduction,21,,
474,fox,4,17266,17265
475,strays,46,17351,17350
476,german-shepherd,18,,
478,large-dogs,18,,
479,defecation,69,19888,19887
480,hedgehog,8,,
482,urinary-tract-disease,16,,
487,heart-health,14,18293,18292
488,public-health,1,18306,18305
490,pet-names,2,,
491,new-medicine,3,,
498,scorpions,3,,
499,pregnancy,27,,
501,insurance,4,,
504,sample-collection,1,19890,19889
505,obedience-trial,1,19893,19892
506,hairloss,12,29276,29275
508,catio,3,20442,20441
509,husky,7,,
510,habitat,9,,
511,liver-disease,1,20585,20584
513,community-faq,1,20807,20806
514,gps,5,20935,20934
515,neutering,30,,
520,cites,1,21226,21225
524,separation-anxiety,8,,
525,vegetarian-food,4,,
526,gerbil,8,29283,29282
528,reactivity,4,,
530,supplements,2,,
531,diabetes,12,,
532,cat-litter,11,,
534,cooked-food,4,,
536,sight,6,25533,25532
537,disability,7,,
538,ducks,2,,
540,genet,1,25981,25980
547,cancer,4,,
548,cooling,3,26755,26754
549,fire,1,26762,26761
550,emergency,5,26760,26759
551,new-pets,16,29271,29270
553,tests,1,26796,26795
554,wound-care,6,,
555,equipment,40,,
556,saddle,2,,
557,equestrian,3,,
558,uk,10,,
561,showing,3,,
562,weaning,3,29261,29260
564,pain,4,27223,27222
565,big-cats,2,,
569,hitting,1,27753,27752
