Id,Reputation,CreationDate,DisplayName,LastAccessDate,Location,Views,UpVotes,DownVotes,AccountId
-1,1,2013-10-08T21:04:02.943,Community,2013-10-08T21:04:02.943,on the server farm,52,4758,1882,-1
1,101,2013-10-08T21:15:38.700,Geoff Dalgas,2016-08-23T23:14:30.617,"Corvallis, OR",908,0,0,2
2,101,2013-10-08T21:16:45.003,Nick Craver,2015-03-11T16:22:47.367,"Winston-Salem, NC",14,0,0,7598
3,1850,2013-10-08T21:18:31.367,Steve D,2020-07-10T08:47:20.390,"Stony Brook, NY",107,105,1,502062
4,101,2013-10-08T21:19:50.203,Arie Litovsky,2017-11-09T16:51:06.317,USA,5,0,0,237028
5,101,2013-10-08T21:19:59.100,Kasra Rahjerdi,2014-04-08T19:00:29.543,"New York, NY, United States",5,7,0,109934
6,101,2013-10-08T21:21:41.903,Kevin Montrose,2014-04-01T20:59:03.577,"New York, NY, United States",4,0,0,29738
7,1833,2013-10-08T21:25:49.287,Ben Miller - Remember Monica,2020-12-04T21:36:54.010,,70,192,5,2693867
8,101,2013-10-08T21:26:36.217,David Fullerton,2017-11-09T16:50:47.537,"Melbourne, FL, USA",5,2,0,32917
10,438,2013-10-08T21:30:24.713,Brendan Hannemann,2016-05-20T22:58:29.177,"Seattle, WA",24,19,1,50679
11,315,2013-10-08T21:34:17.043,Paul,2020-10-15T14:12:10.970,149.6 million km from the sun,28,41,0,1159395
12,283,2013-10-08T21:35:15.517,Ben Collins,2019-10-31T01:48:03.410,Republic of Texas,8,6,0,2365
13,27875,2013-10-08T21:35:42.800,James Jenkins,2021-02-02T18:30:43.900,"Pittsburgh, PA",3376,4879,207,2418953
14,525,2013-10-08T21:42:43.747,CodingIntrigue,2020-06-06T06:13:10.487,"Antrim, United Kingdom",13,39,1,277283
15,347,2013-10-08T21:44:11.253,Martijn Pieters,2020-10-02T19:12:35.020,"Cambridge, United Kingdom",85,11,0,35417
16,1354,2013-10-08T21:44:47.100,ton.yeung,2020-12-14T18:01:49.380,"Houston, TX",52,4,0,460078
17,372,2013-10-08T21:48:36.353,Paperjam,2020-08-03T14:16:20.823,California,5,8,0,40898
18,1298,2013-10-08T21:50:53.693,Julie Baumler,2013-10-30T06:40:59.323,,22,13,1,2704134
19,101,2013-10-08T21:51:44.570,Christian,2013-10-09T19:25:05.753,"Dornbirn, Austria",1,0,0,121167
20,3433,2013-10-08T21:52:54.457,Dennis Graves,2021-02-19T02:27:04.950,"Phoenix, AZ",184,135,2,1686499
21,502,2013-10-08T21:53:49.207,Pops,2017-08-03T15:58:53.110,Eastern United States,41,3,1,42117
22,3193,2013-10-08T21:56:02.137,Timtech,2020-01-02T22:00:21.240,"Virginia, United States",161,316,1,3094878
23,101,2013-10-08T21:56:55.157,drhayes,2013-10-08T21:56:55.157,"Austin, TX, United States",0,0,0,142589
24,101,2013-10-08T21:57:36.537,enderland,2020-12-26T02:57:33.680,Valhalla,4,10,0,1042917
25,553,2013-10-08T22:00:12.690,ElefantPhace,2020-11-18T00:28:18.607,Tennessee,37,15,4,2425993
26,473,2013-10-08T22:00:43.837,aman207,2020-08-17T22:43:04.793,,20,35,3,2832565
27,1,2013-10-08T22:01:37.133,Tara Urbanek,2013-10-23T21:43:16.950,,3,0,0,3378669
28,101,2013-10-08T22:02:12.230,Resorath,2020-09-12T18:18:28.683,"Calgary, Canada",1,1,0,227625
29,3328,2013-10-08T22:04:33.750,psubsee2003,2021-02-17T01:40:57.897,Pennsylvania,74,53,2,91276
