Id,TagName,Count,ExcerptPostId,WikiPostId
1,storage,56,364,363
2,whole-bean,12,,
3,ground-coffee,92,1614,1613
4,drip-brew,51,2488,2487
7,espresso-machine,100,1612,1611
8,tamping,9,2050,2049
9,roasting,57,1858,1857
10,espresso,178,1606,1605
11,crema,18,2048,2047
12,grinder,58,2502,2501
13,pour-over,36,,
16,brewing-process,144,417,416
17,cleaning,40,2245,2244
18,caffeine,87,372,371
20,beans,91,1581,1580
21,burr-grinder,22,,
23,maintenance,26,,
24,aeropress,50,1855,1854
25,aroma,7,358,357
26,health,108,1602,1601
28,rating,2,,
30,strength,12,,
31,flavor,118,1560,1559
32,v60,13,,
33,growing,10,,
34,farming,10,,
37,cappuccino,9,,
38,latte,17,2836,2835
39,milk,35,1626,1625
40,french-press,48,2044,2043
41,temperature,24,1568,1567
42,single-serving,4,,
46,filter,33,1744,1743
49,arabica,15,,
51,sugar,12,,
52,nespresso,16,,
53,capsule,7,,
54,bean-varieties,28,1547,1546
56,decaffeinated,17,1681,1680
57,moka,78,370,369
58,starbucks,10,2896,2895
59,keurig,11,,
63,kopiluwak,8,1636,1635
66,induction,5,,
67,digestion,5,,
73,tradition,3,,
74,cup,13,360,359
76,tasting,8,,
80,turkish,5,1746,1745
82,chemistry,22,2832,2831
83,acids,12,,
84,steamed-milk,20,,
85,foamed-milk,14,2838,2837
86,identify-this,5,,
88,quality,9,,
91,siphon,3,,
92,syphon,3,,
93,vacuum-coffee-maker,2,,
94,mouthfeel,2,,
96,equipment,69,362,361
105,iced-coffee,14,,
106,grounds,17,,
107,recycling,3,,
108,flavored-coffee,27,2824,2823
110,coffee-bloom,6,,
114,latte-art,11,,
116,pods,8,354,353
117,accidents,2,375,374
119,cold-brew,44,2046,2045
121,terminology,5,4286,4285
122,instant,32,2834,2833
134,turkish-coffee,21,2646,2645
137,egg-coffee,3,,
138,paper-filter,23,1773,1772
139,coffee-berries,6,,
140,history,10,,
142,food,6,,
143,extraction,37,,
145,trade-association,2,1592,1591
146,smell,6,,
151,coffee-machines,69,3124,3123
155,coffee-blends,8,,
158,home-roasting,23,,
163,untagged,1,3860,3859
164,business,4,,
166,sour,2,,
169,bean-to-cup,9,2225,2224
170,vietnam,4,,
171,dessert,2,2360,2359
172,bulletproof,4,2486,2485
173,green-coffee,8,2654,2653
176,brewing,15,,
178,chemex,11,2499,2498
179,percolator,10,,
180,soy-milk,2,,
182,technique,4,,
187,coffee-shop,10,,
189,coffee-culture,60,2774,2773
191,resting,3,,
192,packaging,8,,
194,barista,3,3171,3170
200,froth,9,,
201,freshness,7,3866,3865
207,recommendation,3,,
208,specific-machine,2,4781,4780
210,roast,6,4788,4787
211,descaling,2,,
214,water,1,5128,5127
215,water-hardness,1,5130,5129
216,ethiopia,1,,
217,regions,1,,
218,specialty-coffee,2,5380,5379
219,channeling,1,,
220,mocha,1,,
221,liquor,1,5539,5538
