Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
1,1,2,2015-01-27T00:00:00.000,,
2,1,2,2015-01-27T00:00:00.000,,
3,3,2,2015-01-27T00:00:00.000,,
4,3,2,2015-01-27T00:00:00.000,,
5,7,2,2015-01-27T00:00:00.000,,
6,5,2,2015-01-27T00:00:00.000,,
7,5,2,2015-01-27T00:00:00.000,,
8,8,2,2015-01-27T00:00:00.000,,
9,5,2,2015-01-27T00:00:00.000,,
10,8,2,2015-01-27T00:00:00.000,,
11,6,2,2015-01-27T00:00:00.000,,
12,1,2,2015-01-27T00:00:00.000,,
13,1,5,2015-01-27T00:00:00.000,19,
14,8,2,2015-01-27T00:00:00.000,,
15,3,2,2015-01-27T00:00:00.000,,
16,7,2,2015-01-27T00:00:00.000,,
17,5,2,2015-01-27T00:00:00.000,,
18,6,2,2015-01-27T00:00:00.000,,
19,4,2,2015-01-27T00:00:00.000,,
20,4,16,2015-01-27T00:00:00.000,,
21,11,2,2015-01-27T00:00:00.000,,
22,15,2,2015-01-27T00:00:00.000,,
23,3,16,2015-01-27T00:00:00.000,,
24,7,2,2015-01-27T00:00:00.000,,
25,5,2,2015-01-27T00:00:00.000,,
26,2,2,2015-01-27T00:00:00.000,,
27,3,2,2015-01-27T00:00:00.000,,
28,15,2,2015-01-27T00:00:00.000,,
29,18,2,2015-01-27T00:00:00.000,,
30,15,2,2015-01-27T00:00:00.000,,
31,19,2,2015-01-27T00:00:00.000,,
32,1,2,2015-01-27T00:00:00.000,,
33,20,10,2015-01-27T00:00:00.000,,
34,14,2,2015-01-27T00:00:00.000,,
35,11,2,2015-01-27T00:00:00.000,,
36,6,2,2015-01-27T00:00:00.000,,
37,21,2,2015-01-27T00:00:00.000,,
38,22,2,2015-01-27T00:00:00.000,,
39,3,2,2015-01-27T00:00:00.000,,
40,22,2,2015-01-27T00:00:00.000,,
41,15,2,2015-01-27T00:00:00.000,,
42,18,2,2015-01-27T00:00:00.000,,
43,19,2,2015-01-27T00:00:00.000,,
45,23,2,2015-01-27T00:00:00.000,,
46,24,2,2015-01-27T00:00:00.000,,
47,11,2,2015-01-27T00:00:00.000,,
48,23,2,2015-01-27T00:00:00.000,,
49,10,2,2015-01-27T00:00:00.000,,
50,23,2,2015-01-27T00:00:00.000,,
51,10,2,2015-01-27T00:00:00.000,,
52,18,1,2015-01-27T00:00:00.000,,
54,23,2,2015-01-27T00:00:00.000,,
55,11,1,2015-01-27T00:00:00.000,,
56,9,2,2015-01-27T00:00:00.000,,
57,26,2,2015-01-27T00:00:00.000,,
58,27,2,2015-01-27T00:00:00.000,,
59,18,2,2015-01-27T00:00:00.000,,
60,23,2,2015-01-27T00:00:00.000,,
61,10,2,2015-01-27T00:00:00.000,,
62,19,2,2015-01-27T00:00:00.000,,
63,13,2,2015-01-27T00:00:00.000,,
64,29,2,2015-01-27T00:00:00.000,,
65,28,16,2015-01-27T00:00:00.000,,
66,17,2,2015-01-27T00:00:00.000,,
67,31,2,2015-01-27T00:00:00.000,,
68,26,2,2015-01-27T00:00:00.000,,
69,14,2,2015-01-27T00:00:00.000,,
70,27,2,2015-01-27T00:00:00.000,,
71,30,2,2015-01-27T00:00:00.000,,
72,8,2,2015-01-27T00:00:00.000,,
73,29,2,2015-01-27T00:00:00.000,,
74,30,2,2015-01-27T00:00:00.000,,
75,18,2,2015-01-27T00:00:00.000,,
76,12,2,2015-01-27T00:00:00.000,,
77,5,2,2015-01-27T00:00:00.000,,
78,7,2,2015-01-27T00:00:00.000,,
79,1,2,2015-01-27T00:00:00.000,,
80,7,2,2015-01-27T00:00:00.000,,
81,24,2,2015-01-27T00:00:00.000,,
82,32,2,2015-01-27T00:00:00.000,,
83,16,2,2015-01-27T00:00:00.000,,
84,29,2,2015-01-27T00:00:00.000,,
85,29,2,2015-01-27T00:00:00.000,,
86,29,5,2015-01-27T00:00:00.000,44,
87,34,2,2015-01-27T00:00:00.000,,
88,1,2,2015-01-27T00:00:00.000,,
89,16,2,2015-01-27T00:00:00.000,,
90,24,1,2015-01-27T00:00:00.000,,
91,28,2,2015-01-27T00:00:00.000,,
92,31,2,2015-01-27T00:00:00.000,,
93,32,2,2015-01-27T00:00:00.000,,
94,14,2,2015-01-27T00:00:00.000,,
95,34,2,2015-01-27T00:00:00.000,,
96,34,2,2015-01-27T00:00:00.000,,
97,3,2,2015-01-27T00:00:00.000,,
98,5,2,2015-01-27T00:00:00.000,,
99,35,2,2015-01-27T00:00:00.000,,
100,7,2,2015-01-27T00:00:00.000,,
101,8,2,2015-01-27T00:00:00.000,,
102,37,2,2015-01-27T00:00:00.000,,
103,37,2,2015-01-27T00:00:00.000,,
104,38,16,2015-01-27T00:00:00.000,,
105,38,2,2015-01-27T00:00:00.000,,
106,42,2,2015-01-27T00:00:00.000,,
