Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditDate,LastActivityDate,Title,AnswerCount,CommentCount,FavoriteCount,ContentLicense,LastEditorUserId,ClosedDate,ParentId,CommunityOwnedDate
1,1,58,2013-10-08T21:29:51.963,47,12202,3,2013-10-30T19:36:21.243,2018-12-26T10:48:06.533,What causes a dog to lunge at an unknown child and how should the owner respond?,4,1,5,CC BY-SA 3.0,,,,
2,1,25,2013-10-08T21:40:34.497,22,3801,10,2013-10-09T18:18:40.067,2013-10-29T14:27:20.483,How do I walk a small dog afraid of loud noises in an urban area?,5,1,,CC BY-SA 3.0,129,,,
3,1,46,2013-10-08T21:44:30.850,26,11765,13,2013-11-08T05:17:26.077,2015-04-12T12:53:57.803,What is required to house break a rabbit?,4,0,3,CC BY-SA 3.0,,,,
4,1,13,2013-10-08T22:00:00.877,9,416,22,2018-10-21T02:48:44.107,2018-10-21T02:48:44.107,What is the best way to toilet train a puppy?,2,5,1,CC BY-SA 3.0,22,2013-10-13T14:57:17.440,,
5,2,,2013-10-08T22:00:43.917,12,,18,,2013-10-08T22:00:43.917,,,0,,CC BY-SA 3.0,,,3,
6,2,,2013-10-08T22:01:25.917,12,,16,2013-10-29T14:30:02.670,2013-10-29T14:30:02.670,,,1,,CC BY-SA 3.0,,,3,
7,1,,2013-10-08T22:02:12.480,13,1040,22,2014-10-20T19:41:39.223,2014-10-20T19:41:39.223,How should I refresh an overheated cat or prevent him from overheating in the first place?,2,4,2,CC BY-SA 3.0,224,,,
8,2,,2013-10-08T22:02:25.547,9,,17,,2013-10-08T22:02:25.547,,,8,,CC BY-SA 3.0,,,1,
9,1,,2013-10-08T22:03:23.440,17,4776,22,2013-10-21T11:41:41.773,2019-11-15T18:32:02.023,How can I ensure a ferret's longevity?,4,0,,CC BY-SA 3.0,103,,,
10,1,,2013-10-08T22:05:05.040,20,748,22,2014-04-04T07:12:14.547,2014-04-08T12:42:59.347,Is corn based food bad for my dog?,3,3,,CC BY-SA 3.0,469,,,
11,1,,2013-10-08T22:05:23.180,16,20671,25,2013-10-10T17:26:42.753,2019-11-06T08:50:11.570,What's the best way to heal a scab on top of my dog's head?,3,4,,CC BY-SA 3.0,129,,,
12,1,24,2013-10-08T22:05:25.733,20,453,20,2013-10-09T11:32:38.503,2014-04-28T15:45:09.980,Cat reacts randomly to tail and enters frenzy,1,6,,CC BY-SA 3.0,31,,,
13,2,,2013-10-08T22:06:12.063,8,,17,,2013-10-08T22:06:12.063,,,1,,CC BY-SA 3.0,,,4,
14,1,21,2013-10-08T22:06:37.703,49,26136,22,2019-02-08T05:22:20.750,2020-09-18T09:08:58.490,Can cats safely eat raw meat?,5,1,6,CC BY-SA 4.0,9934,,,
15,2,,2013-10-08T22:07:36.007,7,,16,2013-10-29T14:27:20.483,2013-10-29T14:27:20.483,,,4,,CC BY-SA 3.0,,,2,
16,1,2714,2013-10-08T22:10:23.147,27,3198,31,2013-10-08T22:24:33.840,2014-03-28T15:39:56.197,How do I discourage my cat from biting?,2,0,3,CC BY-SA 3.0,31,,,
17,1,111,2013-10-08T22:12:09.483,25,516,31,2013-11-17T05:12:59.750,2018-01-01T23:16:48.873,My friend is allergic to only some of my cats; why is that (and how do I mitigate for future cats)?,2,0,,CC BY-SA 3.0,31,,,
18,1,79,2013-10-08T22:13:40.607,21,16905,25,2013-11-16T17:59:00.793,2018-06-07T23:42:10.267,How do I stop my dog from barking at people through the fence?,3,2,2,CC BY-SA 3.0,129,,,
19,2,,2013-10-08T22:14:06.353,5,,3,,2013-10-08T22:14:06.353,,,1,,CC BY-SA 3.0,,,4,
20,1,45,2013-10-08T22:14:31.100,18,2497,20,2013-11-24T06:30:10.617,2013-12-01T08:25:31.537,How much exercise should a young cat be getting?,2,1,1,CC BY-SA 3.0,,,,
21,2,,2013-10-08T22:16:33.417,35,,32,,2013-10-08T22:16:33.417,,,2,,CC BY-SA 3.0,,,14,
22,1,,2013-10-08T22:17:35.280,18,391,22,2018-01-27T09:32:57.723,2019-06-10T06:05:56.257,What should I consider when deciding to purchase pet insurance?,4,0,3,CC BY-SA 3.0,13,,,
23,1,1405,2013-10-08T22:17:35.400,36,36358,31,2013-11-24T05:34:29.147,2015-02-23T09:59:35.617,"Why do cats lick plastic bags, and is there any harm in it?",3,5,,CC BY-SA 3.0,,,,
24,2,,2013-10-08T22:18:44.063,19,,16,2014-04-28T15:45:09.980,2014-04-28T15:45:09.980,,,1,,CC BY-SA 3.0,16,,12,
25,2,,2013-10-08T22:19:47.677,21,,3,,2013-10-08T22:19:47.677,,,0,,CC BY-SA 3.0,,,2,
26,2,,2013-10-08T22:19:54.037,7,,17,,2013-10-08T22:19:54.037,,,0,,CC BY-SA 3.0,,,2,
