Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastActivityDate,Title,AnswerCount,CommentCount,FavoriteCount,ContentLicense,LastEditorUserId,LastEditDate,ParentId,ClosedDate,CommunityOwnedDate
1,1,24,2015-01-27T20:09:32.720,48,2553,4,2019-02-04T13:15:48.970,How should I store whole bean coffee?,7,4,11,CC BY-SA 3.0,,,,,
2,1,22,2015-01-27T20:13:58.610,7,954,8,2015-01-27T21:13:20.537,How fine should I grind coffee for drip/pour over coffee,2,4,,CC BY-SA 3.0,8,2015-01-27T21:13:20.537,,,
3,1,15,2015-01-27T20:20:05.700,30,1537,8,2019-11-28T09:51:33.867,Does the hardness of water matter when making coffee?,2,1,,CC BY-SA 3.0,262,2016-05-02T01:36:46.847,,,
4,1,37,2015-01-27T20:30:33.657,10,267,8,2015-01-27T21:58:54.353,What's the theory behind using thin spouted kettles when making drip/pour over coffee,1,8,1,CC BY-SA 3.0,8,2015-01-27T21:26:01.250,,,
5,1,8,2015-01-27T20:34:58.077,20,1076,8,2019-01-10T09:34:23.257,How important is tamping coffee for an espresso machine,3,0,,CC BY-SA 3.0,8,2015-01-27T20:46:23.583,,,
6,1,11,2015-01-27T20:39:34.113,39,39147,16,2017-02-26T09:12:43.980,Why is it not recommended to drink coffee immediately after it's roasted?,4,2,6,CC BY-SA 3.0,86,2016-09-15T09:49:15.433,,,
7,2,,2015-01-27T20:46:43.660,18,,4,2016-07-12T18:50:36.753,,,1,,CC BY-SA 3.0,2751,2016-07-12T18:50:36.753,5,,
8,2,,2015-01-27T20:50:57.833,15,,17,2015-01-27T20:50:57.833,,,0,,CC BY-SA 3.0,,,5,,
9,1,,2015-01-27T20:53:01.987,10,1717,19,2018-09-18T09:38:15.227,What factors affect espresso crema?,2,0,1,CC BY-SA 3.0,,,,,
10,1,23,2015-01-27T20:55:37.073,10,383,8,2015-01-27T21:13:24.420,Why do barista's keep activating the doser whilst grinding coffee,1,0,,CC BY-SA 3.0,,,,,
11,2,,2015-01-27T20:56:11.087,30,,17,2015-01-27T20:56:11.087,,,8,,CC BY-SA 3.0,,,6,,
12,1,18,2015-01-27T20:59:25.627,14,1452,19,2017-08-10T11:21:57.687,How should I store ground coffee?,2,3,2,CC BY-SA 3.0,-1,2017-04-13T12:51:53.733,,,
13,1,19,2015-01-27T21:00:21.060,10,235,25,2019-05-03T13:23:46.573,How long can I store ground coffee in the fridge?,2,0,1,CC BY-SA 3.0,,,,,
14,1,46,2015-01-27T21:02:09.410,28,3821,22,2016-09-16T20:01:47.713,What is the process to reduce bitterness in coffee?,4,0,4,CC BY-SA 3.0,-1,2017-04-13T12:51:53.733,,,
15,2,,2015-01-27T21:03:42.773,24,,24,2015-01-27T21:03:42.773,,,4,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,3,,
16,1,33,2015-01-27T21:03:46.707,15,4461,23,2018-04-03T12:22:41.767,How does the temperature of the water affect the taste of the coffee,1,4,2,CC BY-SA 3.0,5272,2018-04-03T12:22:41.767,,,
17,2,,2015-01-27T21:04:31.483,5,,17,2015-01-27T21:04:31.483,,,8,,CC BY-SA 3.0,,,9,,
18,2,,2015-01-27T21:07:08.867,11,,4,2015-01-27T21:12:48.687,,,5,,CC BY-SA 3.0,4,2015-01-27T21:12:48.687,12,,
19,2,,2015-01-27T21:08:27.040,15,,17,2015-01-27T21:08:27.040,,,6,,CC BY-SA 3.0,,,13,,
21,2,,2015-01-27T21:12:16.330,4,,17,2015-01-27T21:12:16.330,,,0,,CC BY-SA 3.0,,,2,,
22,2,,2015-01-27T21:12:35.147,7,,24,2015-01-27T21:12:35.147,,,0,,CC BY-SA 3.0,,,2,,
23,2,,2015-01-27T21:13:24.420,13,,26,2015-01-27T21:13:24.420,,,0,,CC BY-SA 3.0,,,10,,
24,2,,2015-01-27T21:17:34.843,44,,24,2015-12-24T18:51:22.207,,,1,,CC BY-SA 3.0,24,2015-12-24T18:51:22.207,1,,
25,1,267,2015-01-27T21:17:51.653,6,113,23,2015-01-30T17:37:38.737,homemade cleaner for basic drip coffee maker,1,8,,CC BY-SA 3.0,23,2015-01-28T17:05:03.993,,,
26,1,,2015-01-27T21:18:15.860,6,71,31,2015-01-27T21:29:26.020,Upward size limit for espresso makers,2,0,,CC BY-SA 3.0,,,,,
27,2,,2015-01-27T21:22:44.583,4,,17,2015-01-27T21:22:44.583,,,0,,CC BY-SA 3.0,,,26,,
28,1,32,2015-01-27T21:23:20.747,7,121,34,2015-01-28T02:58:36.360,Are high-end cone grinders adjustable?,3,0,,CC BY-SA 3.0,24,2015-01-27T21:29:25.863,,,
29,1,34,2015-01-27T21:27:09.077,17,1260,25,2019-05-12T22:42:53.797,What type of roast has the lowest caffeine content?,3,1,1,CC BY-SA 3.0,,,,,
